Data File Name	Doc File	Data File	Date Published
Acculturation	ACQ_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ACQ_F.htm)	ACQ_F Data [XPT - 296.6 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ACQ_F.XPT)	August 2012
Air Quality	AQQ_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/AQQ_F.htm)	AQQ_F Data [XPT - 756.2 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/AQQ_F.XPT)	September 2011
Alcohol Use	ALQ_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ALQ_F.htm)	ALQ_F Data [XPT - 428 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ALQ_F.XPT)	January 2012
Alcohol Use (Ages 18-19)	ALQY_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ALQY_F.htm)	ALQY_F Data [XPT - 13.2 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ALQY_F.XPT)	January 2012
Arthritis	ARQ_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ARQ_F.htm)	ARQ_F Data [XPT - 4.9 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ARQ_F.XPT)	September 2011
Audiometry	AUQ_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/AUQ_F.htm)	AUQ_F Data [XPT - 1.3 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/AUQ_F.XPT)	September 2011
Blood Pressure & Cholesterol	BPQ_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/BPQ_F.htm)	BPQ_F Data [XPT - 1.1 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/BPQ_F.XPT)	September 2011
Bowel Health	BHQ_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/BHQ_F.htm)	BHQ_F Data [XPT - 570.4 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/BHQ_F.XPT)	January 2012
Cardiovascular Health	CDQ_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/CDQ_F.htm)	CDQ_F Data [XPT - 552.3 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/CDQ_F.XPT)	September 2011
Consumer Behavior	CBQ_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/CBQ_F.htm)	CBQ_F Data [XPT - 1.5 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/CBQ_F.XPT)	February 2013
Consumer Behavior Phone Follow-up Module - Adult	CBQPFA_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/CBQPFA_F.htm)	CBQPFA_F Data [XPT - 4.3 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/CBQPFA_F.XPT)	April 2013
Consumer Behavior Phone Follow-up Module - Child	CBQPFC_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/CBQPFC_F.htm)	CBQPFC_F Data [XPT - 1.9 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/CBQPFC_F.XPT)	April 2013
Current Health Status	HSQ_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/HSQ_F.htm)	HSQ_F Data [XPT - 1.1 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/HSQ_F.XPT)	August 2012
Dermatology	DEQ_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DEQ_F.htm)	DEQ_F Data [XPT - 293.4 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DEQ_F.XPT)	Updated August 2017
Diabetes	DIQ_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DIQ_F.htm)	DIQ_F Data [XPT - 1.5 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DIQ_F.XPT)	September 2011
Diet Behavior & Nutrition	DBQ_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DBQ_F.htm)	DBQ_F Data [XPT - 4.4 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DBQ_F.XPT)	September 2012
Drug Use	DUQ_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DUQ_F.htm)	DUQ_F Data [XPT - 1.7 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DUQ_F.XPT)	March 2012
Early Childhood	ECQ_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ECQ_F.htm)	ECQ_F Data [XPT - 287.1 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ECQ_F.XPT)	January 2012
