Data File Name	Doc File	Data File	Date Published
Acculturation	ACQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/ACQ_G.htm)	ACQ_G Data [XPT - 321.9 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/ACQ_G.XPT)	August 2014
Alcohol Use	ALQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/ALQ_G.htm)	ALQ_G Data [XPT - 440.8 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/ALQ_G.XPT)	October 2013
Audiometry	AUQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/AUQ_G.htm)	AUQ_G Data [XPT - 2.1 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/AUQ_G.XPT)	December 2013
Blood Pressure & Cholesterol	BPQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/BPQ_G.htm)	BPQ_G Data [XPT - 726.5 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/BPQ_G.XPT)	September 2013
Cardiovascular Health	CDQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CDQ_G.htm)	CDQ_G Data [XPT - 481.6 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CDQ_G.XPT)	September 2013
Cognitive Functioning	CFQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CFQ_G.htm)	CFQ_G Data [XPT - 253.8 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CFQ_G.XPT)	March 2017
Consumer Behavior	CBQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CBQ_G.htm)	CBQ_G Data [XPT - 458.9 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CBQ_G.XPT)	February 2015
Creatine Kinase	CKQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CKQ_G.htm)	CKQ_G Data [XPT - 411.2 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CKQ_G.XPT)	September 2013
Current Health Status	HSQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HSQ_G.htm)	HSQ_G Data [XPT - 982.3 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HSQ_G.XPT)	September 2013
Dermatology	DEQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DEQ_G.htm)	DEQ_G Data [XPT - 267 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DEQ_G.XPT)	Updated August 2017
Diabetes	DIQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DIQ_G.htm)	DIQ_G Data [XPT - 3.8 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DIQ_G.XPT)	September 2013
Diet Behavior & Nutrition	DBQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DBQ_G.htm)	DBQ_G Data [XPT - 3.2 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DBQ_G.XPT)	February 2015
Drug Use	DUQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DUQ_G.htm)	DUQ_G Data [XPT - 1.5 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DUQ_G.XPT)	November 2013
Early Childhood	ECQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/ECQ_G.htm)	ECQ_G Data [XPT - 281.9 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/ECQ_G.XPT)	September 2013
Food Security	FSQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/FSQ_G.htm)	FSQ_G Data [XPT - 2.9 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/FSQ_G.XPT)	July 2015
Health Insurance	HIQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HIQ_G.htm)	HIQ_G Data [XPT - 1.3 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HIQ_G.XPT)	September 2013
Hepatitis C Follow Up	HCQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HCQ_G.htm)	HCQ_G Data [XPT - 33.6 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HCQ_G.XPT)	July 2014
Hospital Utilization & Access to Care	HUQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HUQ_G.htm)	HUQ_G Data [XPT - 764.3 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HUQ_G.XPT)	September 2013
Housing Characteristics	HOQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HOQ_G.htm)	HOQ_G Data [XPT - 229.8 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HOQ_G.XPT)	September 2013
Immunization	IMQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/IMQ_G.htm)	IMQ_G Data [XPT - 611.6 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/IMQ_G.XPT)	September 2013
Income	INQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/INQ_G.htm)	INQ_G Data [XPT - 1.1 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/INQ_G.XPT)	February 2015
Kidney Conditions - Urology	KIQ_U_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/KIQ_U_G.htm)	KIQ_U_G Data [XPT - 697.9 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/KIQ_U_G.XPT)	November 2014
Medical Conditions	MCQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/MCQ_G.htm)	MCQ_G Data [XPT - 6.6 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/MCQ_G.XPT)	September 2013
Mental Health - Depression Screener	DPQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DPQ_G.htm)	DPQ_G Data [XPT - 484.8 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DPQ_G.XPT)	September 2013
Occupation	OCQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/OCQ_G.htm)	OCQ_G Data [XPT - 1 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/OCQ_G.XPT)	Updated September 2017
Oral Health	OHQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/OHQ_G.htm)	OHQ_G Data [XPT - 2.4 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/OHQ_G.XPT)	March 2014
Pesticide Use	PUQMEC_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PUQMEC_G.htm)	PUQMEC_G Data [XPT - 184.5 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PUQMEC_G.XPT)	September 2013
Physical Activity	PAQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PAQ_G.htm)	PAQ_G Data [XPT - 1.5 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PAQ_G.XPT)	Updated March 2017
Physical Functioning	PFQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PFQ_G.htm)	PFQ_G Data [XPT - 2.2 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PFQ_G.XPT)	September 2013
Prescription Medications	RXQ_RX_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/RXQ_RX_G.htm)	RXQ_RX_G Data [XPT - 2.9 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/RXQ_RX_G.XPT)	July 2014
Prescription Medications - Drug Information	RXQ_DRUG Doc(https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/RXQ_DRUG.htm)	RXQ_DRUG Data [XPT - 2.6 KB](https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/RXQ_DRUG.xpt)	Updated December 2016
Preventive Aspirin Use	RXQASA_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/RXQASA_G.htm)	RXQASA_G Data [XPT - 227 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/RXQASA_G.XPT)	September 2013
Reproductive Health	RHQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/RHQ_G.htm)	RHQ_G Data [XPT - 1.5 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/RHQ_G.XPT)	Updated December 2017
Respiratory Health	RDQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/RDQ_G.htm)	RDQ_G Data [XPT - 1.1 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/RDQ_G.XPT)	September 2013
Sexual Behavior	SXQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/SXQ_G.htm)	SXQ_G Data [XPT - 1.8 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/SXQ_G.XPT)	September 2013
Sleep Disorders	SLQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/SLQ_G.htm)	SLQ_G Data [XPT - 194.2 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/SLQ_G.XPT)	November 2013
Smoking - Cigarette Use	SMQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/SMQ_G.htm)	SMQ_G Data [XPT - 1.9 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/SMQ_G.XPT)	Updated May 2015
Smoking - Household Smokers	SMQFAM_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/SMQFAM_G.htm)	SMQFAM_G Data [XPT - 382.5 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/SMQFAM_G.XPT)	September 2013
Smoking - Recent Tobacco Use	SMQRTU_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/SMQRTU_G.htm)	SMQRTU_G Data [XPT - 1.2 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/SMQRTU_G.XPT)	September 2013
Taste & Smell	CSQ_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CSQ_G.htm)	CSQ_G Data [XPT - 990.8 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CSQ_G.XPT)	September 2013
