Data File Name	Doc File	Data File	Date Published
Albumin & Creatinine - Urine	ALB_CR_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/ALB_CR_E.htm)	ALB_CR_E Data [XPT - 319.1 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/ALB_CR_E.XPT)	September 2009
Apolipoprotein B	APOB_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/APOB_E.htm)	APOB_E Data [XPT - 104.8 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/APOB_E.XPT)	July 2010
Arsenics - Total & Speciated - Urine	UAS_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/UAS_E.htm)	UAS_E Data [XPT - 407.1 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/UAS_E.XPT)	Updated September 2011
Atrazine and Metabolites	UAM_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/UAM_E.htm)	UAM_E Data [XPT - 318.5 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/UAM_E.XPT)	September 2015
Brominated Flame Retardants (BFRs) - Pooled Samples	BFRPOL_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/BFRPOL_E.htm)	BFRPOL_E Data [XPT - 93.1 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/BFRPOL_E.XPT)	Updated September 2014
"Cadmium, Lead, & Total Mercury - Blood"	PBCD_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PBCD_E.htm)	PBCD_E Data [XPT - 583.5 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PBCD_E.XPT)	Updated June 2013
Chlamydia & Gonorrhea - Urine	CHLMDA_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/CHLMDA_E.htm)	CHLMDA_E Data [XPT - 51.2 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/CHLMDA_E.XPT)	September 2009
Cholesterol - HDL	HDL_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HDL_E.htm)	HDL_E Data [XPT - 191.8 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HDL_E.XPT)	April 2010
Cholesterol - LDL & Triglycerides	TRIGLY_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/TRIGLY_E.htm)	TRIGLY_E Data [XPT - 157 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/TRIGLY_E.XPT)	Updated September 2010
Cholesterol - Total	TCHOL_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/TCHOL_E.htm)	TCHOL_E Data [XPT - 191.8 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/TCHOL_E.XPT)	Updated February 2010
Complete Blood Count with 5-part Differential - Whole Blood	CBC_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/CBC_E.htm)	CBC_E Data [XPT - 1.5 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/CBC_E.XPT)	September 2009
Cotinine - Serum & Total NNAL - Urine	COTNAL_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/COTNAL_E.htm)	COTNAL_E Data [XPT - 410 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/COTNAL_E.XPT)	Updated February 2012
C-Reactive Protein (CRP)	CRP_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/CRP_E.htm)	CRP_E Data [XPT - 137.2 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/CRP_E.XPT)	September 2009
DEET and Metabolites	DEET_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DEET_E.htm)	DEET_E Data [XPT - 191.4 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DEET_E.XPT)	Updated May 2016
Environmental Phenols	EPH_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/EPH_E.htm)	EPH_E Data [XPT - 406.9 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/EPH_E.XPT)	Updated September 2011
Epstein-Barr Virus (VCA IgG) - Serum (Surplus)	SSEBV_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/SSEBV_E.htm)	SSEBV_E Data [XPT - 49.5 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/SSEBV_E.XPT)	June 2012
Fasting Questionnaire	FASTQX_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/FASTQX_E.htm)	FASTQX_E Data [XPT - 1.4 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/FASTQX_E.XPT)	September 2009
Ferritin	FERTIN_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/FERTIN_E.htm)	FERTIN_E Data [XPT - 75.7 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/FERTIN_E.XPT)	September 2009
Folate - RBC & Serum	FOLATE_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/FOLATE_E.htm)	FOLATE_E Data [XPT - 365 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/FOLATE_E.XPT)	June 2011
Glycohemoglobin	GHB_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/GHB_E.htm)	GHB_E Data [XPT - 109.1 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/GHB_E.XPT)	Updated March 2012
Hepatitis A Antibody	HEPA_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HEPA_E.htm)	HEPA_E Data [XPT - 141.9 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HEPA_E.XPT)	Updated September 2014
Hepatitis B Surface Antibody	HEPB_S_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HEPB_S_E.htm)	HEPB_S_E Data [XPT - 141.9 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HEPB_S_E.XPT)	September 2009
"Hepatitis B: Core Antibody, Surface Antigen; Hepatitis D Antibody"	HEPBD_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HEPBD_E.htm)	HEPBD_E Data [XPT - 255.4 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HEPBD_E.XPT)	September 2009
Hepatitis C Antibody Reflex Testing - Serum (Surplus)	SSHCV_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/SSHCV_E.htm)	SSHCV_E Data [XPT - 32.9 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/SSHCV_E.XPT)	February 2015
"Hepatitis C: Confirmed Antibody, RNA (HCV-RNA), & Genotype"	HEPC_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HEPC_E.htm)	HEPC_E Data [XPT - 255.4 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HEPC_E.XPT)	Updated February 2015
Herpes Simplex Virus Type-1 & Type-2	HSV_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HSV_E.htm)	HSV_E Data [XPT - 87.7 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HSV_E.XPT)	Updated May 2010
HIV Antibody Test	HIV_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HIV_E.htm)	HIV_E Data [XPT - 48.8 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HIV_E.XPT)	September 2009
"Human Papillomavirus (HPV) - 6, 11, 16 & 18 Antibody - Serum"	HPVSER_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HPVSER_E.htm)	HPVSER_E Data [XPT - 155.7 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HPVSER_E.XPT)	November 2013
Human Papillomavirus (HPV) DNA - Vaginal Swab: Digene Hybrid Capture & Roche Linear Array	HPVSWR_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HPVSWR_E.htm)	HPVSWR_E Data [XPT - 677.9 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HPVSWR_E.XPT)	August 2012
Iodine - Urine	UIO_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/UIO_E.htm)	UIO_E Data [XPT - 191.8 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/UIO_E.XPT)	December 2009
Mercury - Inorganic - Blood	IHG_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/IHG_E.htm)	IHG_E Data [XPT - 292.1 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/IHG_E.XPT)	June 2013
"Mercury - Inorganic, Urine"	UHG_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/UHG_E.htm)	UHG_E Data [XPT - 86.2 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/UHG_E.XPT)	Updated September 2011
Metals - Urine	UHM_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/UHM_E.htm)	UHM_E Data [XPT - 578.2 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/UHM_E.XPT)	Updated September 2011
Non-dioxin-like Polychlorinated Biphenyls & Mono-ortho-substituted Polychlorinated Biphenyls (Surplus)	PCBPOL_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PCBPOL_E.htm)	PCBPOL_E Data [XPT - 258 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PCBPOL_E.XPT)	Updated March 2018
Oral Glucose Tolerance Test	OGTT_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/OGTT_E.htm)	OGTT_E Data [XPT - 313.1 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/OGTT_E.XPT)	January 2010
Organophosphate Insecticides - Diakyl Phosphate Metabolites - Urine	OPD_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/OPD_E.htm)	OPD_E Data [XPT - 318.5 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/OPD_E.XPT)	May 2012
"Perchlorate, Nitrate & Thiocyanate - Urine"	PERNT_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PERNT_E.htm)	PERNT_E Data [XPT - 510.1 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PERNT_E.XPT)	June 2011
Pesticides - Carbamates & Organophosphorus Metabolites - Urine	CARB_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/CARB_E.htm)	CARB_E Data [XPT - 318.5 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/CARB_E.XPT)	June 2014
"Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)"	UPP_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/UPP_E.htm)	UPP_E Data [XPT - 784.5 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/UPP_E.XPT)	Updated September 2011
Pesticides - Environmental - Urine	PP_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PP_E.htm)	PP_E Data [XPT - 278.6 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PP_E.XPT)	Updated September 2011
Pesticides - Organochlorine Metabolites - Serum - Pooled Samples (Surplus)	PSTPOL_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PSTPOL_E.htm)	PSTPOL_E Data [XPT - 73.4 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PSTPOL_E.XPT)	Updated March 2018
Phthalates - Urine	PHTHTE_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PHTHTE_E.htm)	PHTHTE_E Data [XPT - 706 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PHTHTE_E.XPT)	October 2010
Phytoestrogens - Urine	PHYTO_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PHYTO_E.htm)	PHYTO_E Data [XPT - 321.3 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PHYTO_E.XPT)	July 2012
Plasma Fasting Glucose & Insulin	GLU_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/GLU_E.htm)	GLU_E Data [XPT - 209 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/GLU_E.XPT)	January 2010
Polyaromatic Hydrocarbons (PAHs) - Urine	PAH_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PAH_E.htm)	PAH_E Data [XPT - 449.5 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PAH_E.XPT)	February 2013
